,,demand,demand,in_route_position
,,sum,mean,mean
algorithm,merchant_type,,,
CW,convenience,63748.52,32.12,28.07
CW,mall,27357.69,136.11,28.26
CW,supermarket,66317.32,74.01,21.01
CW_TS,convenience,63686.72,32.13,0.0
CW_TS,mall,27350.35,136.75,0.0
CW_TS,supermarket,66317.32,74.01,0.0
CW_TS_ADP_first_stage,convenience,63748.52,32.12,1.93
CW_TS_ADP_first_stage,mall,27357.69,136.11,1.89
CW_TS_ADP_first_stage,supermarket,66317.32,74.01,1.97
CW_VNS,convenience,63748.52,32.12,2.08
CW_VNS,mall,27357.69,136.11,2.09
CW_VNS,supermarket,66317.32,74.01,2.02
SA,convenience,63748.52,32.12,23.1
SA,mall,27357.69,136.11,22.62
SA,supermarket,66317.32,74.01,21.5
SA_TS,convenience,63686.72,32.13,0.0
SA_TS,mall,27350.35,136.75,0.0
SA_TS,supermarket,66317.32,74.01,0.0
SA_VNS,convenience,63748.52,32.12,2.08
SA_VNS,mall,27357.69,136.11,2.09
SA_VNS,supermarket,66317.32,74.01,2.02
SA_VNS_ADP_first_stage,convenience,63748.52,32.12,1.93
SA_VNS_ADP_first_stage,mall,27357.69,136.11,1.89
SA_VNS_ADP_first_stage,supermarket,66317.32,74.01,1.97
TS,convenience,63686.72,32.13,0.0
TS,mall,27350.35,136.75,0.0
TS,supermarket,66317.32,74.01,0.0
TS_ADP_tabu_size,convenience,63748.52,32.12,0.0
TS_ADP_tabu_size,mall,27357.69,136.11,0.0
TS_ADP_tabu_size,supermarket,66317.32,74.01,0.0
VNS,convenience,63748.52,32.12,2.08
VNS,mall,27357.69,136.11,2.09
VNS,supermarket,66317.32,74.01,2.02
VNS_ADP_neighborhood_change,convenience,63748.52,32.12,1.93
VNS_ADP_neighborhood_change,mall,27357.69,136.11,1.89
VNS_ADP_neighborhood_change,supermarket,66317.32,74.01,1.97
