,,route_load,route_load,capacity_utilization,route_length,fixed_cost
,,mean,max,mean,mean,sum
algorithm,vehicle_type,,,,,
CW,large,7553.83,21957.07,1.51,65.07,0
CW,medium,1524.06,2270.43,0.51,43.38,0
CW,small,269.51,991.49,0.27,20.18,0
CW_TS,large,8494.54,20000,1.7,1,0
CW_TS,medium,1495.02,2580,0.5,1,0
CW_TS,small,18.41,1000,0.02,1,0
CW_TS_ADP_first_stage,large,8548.16,20073.75,1.71,5,0
CW_TS_ADP_first_stage,medium,1589.17,2790.11,0.53,4.9,0
CW_TS_ADP_first_stage,small,83.33,879.54,0.08,4.7,0
CW_VNS,large,8553.27,20059.93,1.71,6,0
CW_VNS,medium,1556.3,2793.73,0.52,5.2,0
CW_VNS,small,82.43,855.17,0.08,4.67,0
SA,large,7680.2,20000,1.54,18,0
SA,medium,1996.35,2998.48,0.67,29.58,0
SA,small,413.6,1000,0.41,24.44,0
SA_TS,large,8494.54,20000,1.7,1,0
SA_TS,medium,1495.02,2580,0.5,1,0
SA_TS,small,18.41,1000,0.02,1,0
SA_VNS,large,8553.27,20059.93,1.71,6,0
SA_VNS,medium,1556.3,2793.73,0.52,5.2,0
SA_VNS,small,82.43,855.17,0.08,4.67,0
SA_VNS_ADP_first_stage,large,8548.16,20073.75,1.71,5,0
SA_VNS_ADP_first_stage,medium,1589.17,2790.11,0.53,4.9,0
SA_VNS_ADP_first_stage,small,83.33,879.54,0.08,4.7,0
TS,large,8494.54,20000,1.7,1,0
TS,medium,1495.02,2580,0.5,1,0
TS,small,18.41,1000,0.02,1,0
TS_ADP_tabu_size,large,8494.54,20000,1.7,1,0
TS_ADP_tabu_size,medium,1495.02,2580,0.5,1,0
TS_ADP_tabu_size,small,18.41,1000,0.02,1,0
VNS,large,8553.27,20059.93,1.71,6,0
VNS,medium,1556.3,2793.73,0.52,5.2,0
VNS,small,82.43,855.17,0.08,4.67,0
VNS_ADP_neighborhood_change,large,8548.16,20073.75,1.71,5,0
VNS_ADP_neighborhood_change,medium,1589.17,2790.11,0.53,4.9,0
VNS_ADP_neighborhood_change,small,83.33,879.54,0.08,4.7,0
